Datum;Uhrzeit;Wert [cm];Qualität
01.11.1970;;126;Gut
02.11.1970;;126;Gut
03.11.1970;;128;Gut
04.11.1970;;128;Gut
05.11.1970;;128;Gut
06.11.1970;;129;Gut
07.11.1970;;129;Gut
08.11.1970;;130;Gut
09.11.1970;;130;Gut
10.11.1970;;132;Gut
11.11.1970;;132;Gut
12.11.1970;;132;Gut
13.11.1970;;132;Gut
14.11.1970;;133;Gut
15.11.1970;;133;Gut
16.11.1970;;133;Gut
17.11.1970;;133;Gut
18.11.1970;;133;Gut
19.11.1970;;134;Gut
20.11.1970;;134;Gut
21.11.1970;;135;Gut
22.11.1970;;136;Gut
23.11.1970;;136;Gut
24.11.1970;;136;Gut
25.11.1970;;136;Gut
26.11.1970;;136;Gut
27.11.1970;;136;Gut
28.11.1970;;136;Gut
29.11.1970;;136;Gut
30.11.1970;;137;Gut
01.12.1970;;137;Gut
02.12.1970;;137;Gut
03.12.1970;;138;Gut
04.12.1970;;138;Gut
05.12.1970;;139;Gut
06.12.1970;;139;Gut
07.12.1970;;139;Gut
08.12.1970;;140;Gut
09.12.1970;;140;Gut
10.12.1970;;140;Gut
11.12.1970;;140;Gut
12.12.1970;;140;Gut
13.12.1970;;140;Gut
14.12.1970;;140;Gut
15.12.1970;;140;Gut
16.12.1970;;140;Gut
17.12.1970;;140;Gut
18.12.1970;;140;Gut
19.12.1970;;140;Gut
20.12.1970;;141;Gut
21.12.1970;;141;Gut
22.12.1970;;141;Gut
23.12.1970;;141;Gut
24.12.1970;;141;Gut
25.12.1970;;141;Gut
26.12.1970;;141;Gut
27.12.1970;;141;Gut
28.12.1970;;141;Gut
29.12.1970;;141;Gut
30.12.1970;;141;Gut
31.12.1970;;141;Gut
01.01.1971;;141;Gut
02.01.1971;;141;Gut
03.01.1971;;141;Gut
04.01.1971;;140;Gut
05.01.1971;;140;Gut
06.01.1971;;140;Gut
07.01.1971;;140;Gut
08.01.1971;;140;Gut
09.01.1971;;140;Gut
10.01.1971;;140;Gut
11.01.1971;;140;Gut
12.01.1971;;140;Gut
13.01.1971;;140;Gut
14.01.1971;;140;Gut
15.01.1971;;140;Gut
16.01.1971;;140;Gut
17.01.1971;;140;Gut
18.01.1971;;140;Gut
19.01.1971;;140;Gut
20.01.1971;;140;Gut
21.01.1971;;141;Gut
22.01.1971;;141;Gut
23.01.1971;;141;Gut
24.01.1971;;142;Gut
25.01.1971;;142;Gut
26.01.1971;;142;Gut
27.01.1971;;143;Gut
28.01.1971;;143;Gut
29.01.1971;;143;Gut
30.01.1971;;144;Gut
31.01.1971;;144;Gut
01.02.1971;;144;Gut
02.02.1971;;144;Gut
03.02.1971;;144;Gut
04.02.1971;;144;Gut
05.02.1971;;146;Gut
06.02.1971;;146;Gut
07.02.1971;;146;Gut
08.02.1971;;147;Gut
09.02.1971;;147;Gut
10.02.1971;;147;Gut
11.02.1971;;147;Gut
12.02.1971;;147;Gut
13.02.1971;;147;Gut
14.02.1971;;148;Gut
15.02.1971;;148;Gut
16.02.1971;;148;Gut
17.02.1971;;148;Gut
18.02.1971;;148;Gut
19.02.1971;;148;Gut
20.02.1971;;148;Gut
21.02.1971;;148;Gut
22.02.1971;;149;Gut
23.02.1971;;150;Gut
24.02.1971;;150;Gut
25.02.1971;;150;Gut
26.02.1971;;150;Gut
27.02.1971;;150;Gut
28.02.1971;;150;Gut
01.03.1971;;150;Gut
02.03.1971;;150;Gut
03.03.1971;;149;Gut
04.03.1971;;149;Gut
05.03.1971;;149;Gut
06.03.1971;;149;Gut
07.03.1971;;149;Gut
08.03.1971;;149;Gut
09.03.1971;;150;Gut
10.03.1971;;150;Gut
11.03.1971;;150;Gut
12.03.1971;;150;Gut
13.03.1971;;150;Gut
14.03.1971;;150;Gut
15.03.1971;;150;Gut
16.03.1971;;150;Gut
17.03.1971;;150;Gut
18.03.1971;;150;Gut
19.03.1971;;150;Gut
20.03.1971;;150;Gut
21.03.1971;;150;Gut
22.03.1971;;150;Gut
23.03.1971;;150;Gut
24.03.1971;;150;Gut
25.03.1971;;150;Gut
26.03.1971;;150;Gut
27.03.1971;;150;Gut
28.03.1971;;150;Gut
29.03.1971;;150;Gut
30.03.1971;;150;Gut
31.03.1971;;150;Gut
01.04.1971;;150;Gut
02.04.1971;;150;Gut
03.04.1971;;150;Gut
04.04.1971;;150;Gut
05.04.1971;;150;Gut
06.04.1971;;150;Gut
07.04.1971;;150;Gut
08.04.1971;;149;Gut
09.04.1971;;149;Gut
10.04.1971;;148;Gut
11.04.1971;;148;Gut
12.04.1971;;148;Gut
